verb,verbstem
bedank,bedanken
bedankend,bedanken
bedankt,bedanken
bedankte,bedanken
bedankten,bedanken
bedarend,bedaren
bededen,bedoen
bedeed,bedoen
bedek,bedekken
bedekkend,bedekken
bedekt,bedekken
bedekte,bedekken
bedekten,bedekken
bedel,bedelen
bedelde,bedelen
bedelden,bedelen
bedelend,bedelen
bedelf,bedelven
bedelft,bedelven
bedelt,bedelen
bedelvend,bedelven
bedenk,bedenken
bedenkend,bedenken
bedenkt,bedenken
bederf,bederven
bederft,bederven
bedervend,bederven
bedien,bedienen
bediend,bedienen
bediende,bedienen
bedienden,bedienen
bedienend,bedienen
bedient,bedienen
bedierf,bederven
bedierven,bederven
beding,bedingen
bedingend,bedingen
bedingt,bedingen
bedoe,bedoen
bedoel,bedoelen
bedoeld,bedoelen
bedoelde,bedoelen
bedoelden,bedoelen
bedoelend,bedoelen
bedoelt,bedoelen
bedoend,bedoen
bedoet,bedoen
bedolf,bedelven
bedolven,bedelven
bedong,bedingen
bedongen,bedingen
bedorven,bederven
bedraag,bedragen
bedraagt,bedragen
bedragen,bedragen
bedragend,bedragen
bedreef,bedrijven
bedreig,bedreigen
bedreigd,bedreigen
bedreigde,bedreigen
bedreigden,bedreigen
